#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1906.00    0.098699    0.023871    0.013496    0.019700  99.9900000  99.9900000    0.232629    0.000000    0.019690    0.000000
   1906.05    0.029986    0.021661   -0.031346    0.020345  99.9900000  99.9900000    0.232447    0.000000    0.019879    0.000000
   1906.10   -0.022498    0.024579   -0.051182    0.015710  99.9900000  99.9900000    0.232373    0.000000    0.019158    0.000000
   1906.15   -0.048571    0.018039   -0.033051    0.019089  99.9900000  99.9900000    0.233052    0.000000    0.017882    0.000000
   1906.20   -0.083754    0.021684   -0.021453    0.021079  99.9900000  99.9900000    0.233205    0.000000    0.017010    0.000000
   1906.25   -0.100179    0.021438   -0.019643    0.019111  99.9900000  99.9900000    0.234417    0.000000    0.016310    0.000000
   1906.30   -0.116470    0.016746   -0.026486    0.016041  99.9900000  99.9900000    0.234784    0.000000    0.015875    0.000000
   1906.35   -0.135279    0.020515    0.005501    0.017998  99.9900000  99.9900000    0.233651    0.000000    0.015751    0.000000
   1906.40   -0.152406    0.015687    0.033503    0.016189  99.9900000  99.9900000    0.233001    0.000000    0.015372    0.000000
   1906.45   -0.141173    0.014321    0.081081    0.015549  99.9900000  99.9900000    0.230788    0.000000    0.015951    0.000000
   1906.50   -0.120147    0.017455    0.105356    0.016689  99.9900000  99.9900000    0.227622    0.000000    0.016511    0.000000
   1906.55   -0.106461    0.014687    0.115375    0.015380  99.9900000  99.9900000    0.225339    0.000000    0.016086    0.000000
   1906.60   -0.096295    0.013220    0.130489    0.016955  99.9900000  99.9900000    0.223354    0.000000    0.016098    0.000000
   1906.65   -0.057921    0.014699    0.114900    0.015206  99.9900000  99.9900000    0.221567    0.000000    0.016356    0.000000
   1906.70   -0.034610    0.015441    0.135202    0.014289  99.9900000  99.9900000    0.221377    0.000000    0.016397    0.000000
   1906.75   -0.030723    0.017748    0.140303    0.019016  99.9900000  99.9900000    0.222424    0.000000    0.017069    0.000000
   1906.80   -0.026638    0.017640    0.123451    0.016315  99.9900000  99.9900000    0.224033    0.000000    0.017671    0.000000
   1906.85    0.029077    0.025961    0.189377    0.019881  99.9900000  99.9900000    0.226124    0.000000    0.018312    0.000000
   1906.90   -0.000071    0.019462    0.169103    0.016960  99.9900000  99.9900000    0.227438    0.000000    0.019516    0.000000
   1906.95    0.007497    0.021172    0.178271    0.022812  99.9900000  99.9900000    0.228109    0.000000    0.020410    0.000000
   1907.00    0.028800    0.026177    0.195501    0.021835  99.9900000  99.9900000    0.229504    0.000000    0.020479    0.000000
   1907.05    0.030693    0.023341    0.122687    0.025643  99.9900000  99.9900000    0.229415    0.000000    0.020675    0.000000
   1907.10    0.005786    0.022990    0.059105    0.025101  99.9900000  99.9900000    0.229316    0.000000    0.020117    0.000000
   1907.15    0.011278    0.017753    0.085890    0.018130  99.9900000  99.9900000    0.230271    0.000000    0.018909    0.000000
   1907.20    0.025837    0.019141    0.045526    0.018841  99.9900000  99.9900000    0.230832    0.000000    0.017842    0.000000
   1907.25    0.010188    0.017943    0.033976    0.018047  99.9900000  99.9900000    0.230900    0.000000    0.017094    0.000000
   1907.30    0.037466    0.017414   -0.010213    0.018282  99.9900000  99.9900000    0.232205    0.000000    0.016631    0.000000
   1907.35   -0.004540    0.016075   -0.015769    0.017201  99.9900000  99.9900000    0.232001    0.000000    0.016617    0.000000
   1907.40   -0.018273    0.016877   -0.015173    0.016663  99.9900000  99.9900000    0.229964    0.000000    0.016777    0.000000
   1907.45   -0.007141    0.015864   -0.040961    0.017096  99.9900000  99.9900000    0.228902    0.000000    0.016608    0.000000
   1907.50   -0.041843    0.014405   -0.054269    0.013671  99.9900000  99.9900000    0.225898    0.000000    0.017169    0.000000
   1907.55   -0.039598    0.013423   -0.066694    0.013739  99.9900000  99.9900000    0.222122    0.000000    0.017345    0.000000
   1907.60   -0.062703    0.013804   -0.045599    0.013720  99.9900000  99.9900000    0.220831    0.000000    0.016910    0.000000
   1907.65   -0.084806    0.012081   -0.037981    0.012721  99.9900000  99.9900000    0.219072    0.000000    0.017344    0.000000
   1907.70   -0.117703    0.012937   -0.015019    0.013833  99.9900000  99.9900000    0.218967    0.000000    0.017519    0.000000
   1907.75   -0.156776    0.015289    0.021300    0.013670  99.9900000  99.9900000    0.220396    0.000000    0.017841    0.000000
   1907.80   -0.189022    0.018050    0.063250    0.014975  99.9900000  99.9900000    0.221393    0.000000    0.019018    0.000000
   1907.85   -0.160469    0.019450    0.122356    0.020616  99.9900000  99.9900000    0.223427    0.000000    0.019649    0.000000
   1907.90   -0.174352    0.021263    0.161462    0.016968  99.9900000  99.9900000    0.225313    0.000000    0.020531    0.000000
   1907.95   -0.175601    0.024544    0.206627    0.023983  99.9900000  99.9900000    0.225775    0.000000    0.021195    0.000000
   1908.00   -0.097354    0.020961    0.248599    0.019243  99.9900000  99.9900000    0.225810    0.000000    0.021805    0.000000
   1908.05   -0.103266    0.023340    0.239529    0.021687  99.9900000  99.9900000    0.227382    0.000000    0.021303    0.000000
   1908.10   -0.059144    0.021130    0.273688    0.020813  99.9900000  99.9900000    0.227207    0.000000    0.021140    0.000000
   1908.15    0.009730    0.021141    0.247674    0.016433  99.9900000  99.9900000    0.227729    0.000000    0.020079    0.000000
   1908.20    0.090256    0.026742    0.235713    0.018505  99.9900000  99.9900000    0.229298    0.000000    0.018995    0.000000
   1908.25    0.080876    0.018237    0.218247    0.021371  99.9900000  99.9900000    0.229311    0.000000    0.018199    0.000000
   1908.30    0.155752    0.018792    0.162110    0.016714  99.9900000  99.9900000    0.229464    0.000000    0.017668    0.000000
   1908.35    0.153094    0.016737    0.112487    0.018825  99.9900000  99.9900000    0.230066    0.000000    0.017404    0.000000
   1908.40    0.174001    0.016324    0.039769    0.016378  99.9900000  99.9900000    0.228840    0.000000    0.017742    0.000000
   1908.45    0.193452    0.015329    0.020757    0.015658  99.9900000  99.9900000    0.225866    0.000000    0.017983    0.000000
   1908.50    0.183438    0.014044   -0.054420    0.015259  99.9900000  99.9900000    0.224148    0.000000    0.017758    0.000000
   1908.55    0.151229    0.015400   -0.109334    0.015739  99.9900000  99.9900000    0.221011    0.000000    0.017950    0.000000
   1908.60    0.107898    0.014253   -0.142566    0.017722  99.9900000  99.9900000    0.218005    0.000000    0.018017    0.000000
   1908.65    0.055419    0.013924   -0.182147    0.015617  99.9900000  99.9900000    0.218110    0.000000    0.017921    0.000000
   1908.70   -0.006802    0.014573   -0.171790    0.013946  99.9900000  99.9900000    0.217375    0.000000    0.018515    0.000000
   1908.75   -0.062119    0.013913   -0.178735    0.014407  99.9900000  99.9900000    0.218672    0.000000    0.018822    0.000000
   1908.80   -0.121188    0.013589   -0.143228    0.015109  99.9900000  99.9900000    0.220862    0.000000    0.019775    0.000000
   1908.85   -0.198859    0.020552   -0.118751    0.017931  99.9900000  99.9900000    0.221928    0.000000    0.020876    0.000000
   1908.90   -0.257304    0.018707   -0.059744    0.017970  99.9900000  99.9900000    0.223779    0.000000    0.021433    0.000000
   1908.95   -0.280150    0.025857   -0.002831    0.018203  99.9900000  99.9900000    0.225755    0.000000    0.022009    0.000000
   1909.00   -0.308600    0.026386    0.086948    0.022224  99.9900000  99.9900000    0.225750    0.000000    0.022357    0.000000
   1909.05   -0.341620    0.019598    0.134833    0.020705  99.9900000  99.9900000    0.225465    0.000000    0.022472    0.000000
   1909.10   -0.251371    0.031080    0.177515    0.021242  99.9900000  99.9900000    0.226839    0.000000    0.021632    0.000000
   1909.15   -0.246487    0.026749    0.259102    0.023853  99.9900000  99.9900000    0.226768    0.000000    0.020912    0.000000
   1909.20   -0.210297    0.025755    0.316677    0.021167  99.9900000  99.9900000    0.227612    0.000000    0.019739    0.000000
   1909.25   -0.111999    0.020248    0.334621    0.014937  99.9900000  99.9900000    0.229254    0.000000    0.019067    0.000000
   1909.30   -0.048985    0.016900    0.365463    0.016351  99.9900000  99.9900000    0.228697    0.000000    0.018541    0.000000
   1909.35    0.031772    0.016586    0.354454    0.015842  99.9900000  99.9900000    0.228695    0.000000    0.018113    0.000000
   1909.40    0.150495    0.017706    0.322986    0.018760  99.9900000  99.9900000    0.227936    0.000000    0.018012    0.000000
   1909.45    0.204089    0.015511    0.289677    0.016422  99.9900000  99.9900000    0.225419    0.000000    0.018767    0.000000
   1909.50    0.260634    0.016202    0.206498    0.015492  99.9900000  99.9900000    0.221845    0.000000    0.018510    0.000000
   1909.55    0.287880    0.013788    0.107909    0.015217  99.9900000  99.9900000    0.220089    0.000000    0.018414    0.000000
   1909.60    0.317580    0.014354    0.078520    0.016305  99.9900000  99.9900000    0.217528    0.000000    0.018374    0.000000
   1909.65    0.297731    0.016014   -0.000185    0.016588  99.9900000  99.9900000    0.215686    0.000000    0.018522    0.000000
   1909.70    0.230485    0.020030   -0.081283    0.016221  99.9900000  99.9900000    0.216886    0.000000    0.019066    0.000000
   1909.75    0.189359    0.017799   -0.138516    0.014604  99.9900000  99.9900000    0.217593    0.000000    0.019397    0.000000
   1909.80    0.086859    0.016831   -0.192019    0.016196  99.9900000  99.9900000    0.219223    0.000000    0.019861    0.000000
   1909.85    0.011900    0.025044   -0.230768    0.018869  99.9900000  99.9900000    0.221710    0.000000    0.021253    0.000000
   1909.90   -0.099772    0.019594   -0.198989    0.015524  99.9900000  99.9900000    0.222673    0.000000    0.022217    0.000000
   1909.95   -0.183724    0.019605   -0.173317    0.021467  99.9900000  99.9900000    0.223971    0.000000    0.022343    0.000000
   1910.00   -0.230100    0.017880   -0.132308    0.023836  99.9900000  99.9900000    0.225636    0.000000    0.022744    0.000000
   1910.05   -0.309042    0.024313   -0.077619    0.022970  99.9900000  99.9900000    0.224852    0.000000    0.022918    0.000000
   1910.10   -0.333656    0.029327   -0.017642    0.021883  99.9900000  99.9900000    0.224995    0.000000    0.021981    0.000000
   1910.15   -0.330235    0.018677    0.092940    0.021532  99.9900000  99.9900000    0.226264    0.000000    0.021280    0.000000
   1910.20   -0.355052    0.020035    0.105256    0.017386  99.9900000  99.9900000    0.226241    0.000000    0.020235    0.000000
   1910.25   -0.347438    0.018223    0.227471    0.020880  99.9900000  99.9900000    0.227662    0.000000    0.019131    0.000000
   1910.30   -0.310538    0.015627    0.324074    0.017842  99.9900000  99.9900000    0.228755    0.000000    0.018832    0.000000
   1910.35   -0.214804    0.017850    0.362022    0.017201  99.9900000  99.9900000    0.227302    0.000000    0.018792    0.000000
