#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)     dX(")       dX_er(")    dY(")       dY_er(")
   1909.40    0.150495    0.017706    0.322986    0.018760  99.9900000  99.9900000   -0.089977    0.000000   -0.020546    0.000000
   1909.45    0.204089    0.015511    0.289677    0.016422  99.9900000  99.9900000   -0.089153    0.000000   -0.020827    0.000000
   1909.50    0.260634    0.016202    0.206498    0.015492  99.9900000  99.9900000   -0.087860    0.000000   -0.020868    0.000000
   1909.55    0.287880    0.013788    0.107909    0.015217  99.9900000  99.9900000   -0.086787    0.000000   -0.020785    0.000000
   1909.60    0.317580    0.014354    0.078520    0.016305  99.9900000  99.9900000   -0.085895    0.000000   -0.020756    0.000000
   1909.65    0.297731    0.016014   -0.000185    0.016588  99.9900000  99.9900000   -0.085557    0.000000   -0.021026    0.000000
   1909.70    0.230485    0.020030   -0.081283    0.016221  99.9900000  99.9900000   -0.085555    0.000000   -0.021377    0.000000
   1909.75    0.189359    0.017799   -0.138516    0.014604  99.9900000  99.9900000   -0.085931    0.000000   -0.021775    0.000000
   1909.80    0.086859    0.016831   -0.192019    0.016196  99.9900000  99.9900000   -0.086643    0.000000   -0.022598    0.000000
   1909.85    0.011900    0.025044   -0.230768    0.018869  99.9900000  99.9900000   -0.087429    0.000000   -0.023446    0.000000
   1909.90   -0.099772    0.019594   -0.198989    0.015524  99.9900000  99.9900000   -0.088048    0.000000   -0.024377    0.000000
   1909.95   -0.183724    0.019605   -0.173317    0.021467  99.9900000  99.9900000   -0.088557    0.000000   -0.024984    0.000000
   1910.00   -0.230100    0.017880   -0.132308    0.023836  99.9900000  99.9900000   -0.088758    0.000000   -0.025204    0.000000
   1910.05   -0.309042    0.024313   -0.077619    0.022970  99.9900000  99.9900000   -0.088889    0.000000   -0.025119    0.000000
   1910.10   -0.333656    0.029327   -0.017642    0.021883  99.9900000  99.9900000   -0.088973    0.000000   -0.024515    0.000000
   1910.15   -0.330235    0.018677    0.092940    0.021532  99.9900000  99.9900000   -0.089207    0.000000   -0.023689    0.000000
   1910.20   -0.355052    0.020035    0.105256    0.017386  99.9900000  99.9900000   -0.089493    0.000000   -0.022562    0.000000
   1910.25   -0.347438    0.018223    0.227471    0.020880  99.9900000  99.9900000   -0.090073    0.000000   -0.021810    0.000000
   1910.30   -0.310538    0.015627    0.324074    0.017842  99.9900000  99.9900000   -0.090165    0.000000   -0.021180    0.000000
   1910.35   -0.214804    0.017850    0.362022    0.017201  99.9900000  99.9900000   -0.090152    0.000000   -0.020700    0.000000
   1910.40   -0.111002    0.024306    0.383603    0.022435  99.9900000  99.9900000   -0.089796    0.000000   -0.020688    0.000000
   1910.45   -0.041819    0.017913    0.411901    0.019908  99.9900000  99.9900000   -0.088888    0.000000   -0.020748    0.000000
   1910.50    0.080249    0.014925    0.428785    0.018870  99.9900000  99.9900000   -0.087753    0.000000   -0.021109    0.000000
   1910.55    0.180619    0.015937    0.392735    0.016706  99.9900000  99.9900000   -0.086600    0.000000   -0.021140    0.000000
   1910.60    0.248586    0.015735    0.340600    0.017808  99.9900000  99.9900000   -0.085762    0.000000   -0.021156    0.000000
