LIA,pole_:_time series,Uniform_:_continental load model,elastic mean_:_barystatic sea_:_level,viscosity_:_profile,Asthenosphere_:_viscosity,Q profile,GRACE_:_solution,relaxed shear_:_modulus ratio,alpha,Anelasticity,ocean_mean_trend_step_5
True,mean,True,upper,,,Resovsky,GFZ,0.15,0.26,short-term,2.329248
True,mean,True,upper,,,Resovsky,JPL,0.15,0.26,short-term,2.408087
True,mean,True,upper,,,Resovsky,CSR,0.15,0.26,short-term,2.343015
True,mean,True,upper,,,Resovsky,MSSA,0.15,0.26,short-term,2.357859
False,mean,True,mean,,,Resovsky,GFZ,0.1,0.26,short-term,2.360199
False,mean,True,mean,,,Resovsky,JPL,0.1,0.26,short-term,2.439774
False,mean,True,mean,,,Resovsky,CSR,0.1,0.26,short-term,2.375639
False,mean,True,mean,,,Resovsky,MSSA,0.1,0.26,short-term,2.388035
True,mean,True,mean,,,Resovsky,GFZ,0.1,0.26,short-term,2.357929
True,mean,True,mean,,,Resovsky,JPL,0.1,0.26,short-term,2.437553
True,mean,True,mean,,,Resovsky,CSR,0.1,0.26,short-term,2.372993
False,mean,True,lower,,,Resovsky,GFZ,0.1,0.26,short-term,2.368669
False,mean,True,lower,,,Resovsky,JPL,0.1,0.26,short-term,2.44624
False,mean,True,lower,,,Resovsky,CSR,0.1,0.26,short-term,2.383948
False,mean,True,lower,,,Resovsky,MSSA,0.1,0.26,short-term,2.395046
True,mean,True,lower,,,Resovsky,GFZ,0.1,0.26,short-term,2.365633
True,mean,True,lower,,,Resovsky,JPL,0.1,0.26,short-term,2.443074
True,mean,True,lower,,,Resovsky,CSR,0.1,0.26,short-term,2.380931
True,mean,True,lower,,,Resovsky,MSSA,0.1,0.26,short-term,2.392576
False,mean,True,upper,,,Resovsky,GFZ,0.1,0.26,short-term,2.35169
False,mean,True,upper,,,Resovsky,JPL,0.1,0.26,short-term,2.4307
False,mean,True,upper,,,Resovsky,CSR,0.1,0.26,short-term,2.366367
False,mean,True,upper,,,Resovsky,MSSA,0.1,0.26,short-term,2.381933
True,mean,True,upper,,,Resovsky,GFZ,0.1,0.26,short-term,2.348775
True,mean,True,upper,,,Resovsky,JPL,0.1,0.26,short-term,2.428724
True,mean,True,upper,,,Resovsky,CSR,0.1,0.26,short-term,2.363684
True,mean,True,upper,,,Resovsky,MSSA,0.1,0.26,short-term,2.379015
False,mean,True,mean,,,Resovsky,GFZ,0.2,0.26,short-term,2.313798
False,mean,True,mean,,,Resovsky,JPL,0.2,0.26,short-term,2.391368
False,mean,True,mean,,,Resovsky,CSR,0.2,0.26,short-term,2.326287
False,mean,True,mean,,,Resovsky,MSSA,0.2,0.26,short-term,2.342845
True,mean,True,mean,,,Resovsky,GFZ,0.2,0.26,short-term,2.317604
True,mean,True,mean,,,Resovsky,JPL,0.2,0.26,short-term,2.394569
True,mean,True,mean,,,Resovsky,CSR,0.2,0.26,short-term,2.330218
False,mean,True,lower,,,Resovsky,GFZ,0.2,0.26,short-term,2.315951
False,mean,True,lower,,,Resovsky,JPL,0.2,0.26,short-term,2.394139
False,mean,True,lower,,,Resovsky,CSR,0.2,0.26,short-term,2.329867
